container;type_name;size policy;memory layout;different types;depend;enumerable;iteratorable;constructor;__VA_ARGS__
Tuple;tuple_t;static;linear;+;-;+;+;new(tuple_t, …);>0
Pair;pair_t;static;linear;+;tuple_t;+;+;new(pair_t, key, value);0
Variant;variant_t;static;linear;+;-;+;+;new(variant_t, value);0
Array;array_t;static;linear;-;-;+;+;new(array_t, type, size) new(array_t, type, …);>=0
Vector;vector_t;dynamic;linear;-;-;+;+;new(vector_t, type, size);>=0
List;list_t;dynamic;reference;-;-;+;+;new(list_t, type, size);>=0
Matrix;matrix_t;static;linear;-;-;+;+;new(matrix_t, type, rows, cols);>=0
Deque;deque_t;dynamic;reference;-;list_t;-;+;new(deque_t, type);>=0
Queue;queue_t;dynamic;reference;-;deque_t;-;-;new(queue_t, type);>=0
Stack;stack_t;dynamic;reference;-;deque_t;-;-;new(stack_t, type);>=0
Set;set_t;dynamic;associative;-;-;-;forward;new(set_t, type, size);>=0
Map;map_t;dynamic;associative;-;pair_t;-;forward;new(map_t, type, size);>=0
Count set;cset_t;dynamic;associative;-;-;-;forward;new(multiset_t, type, size);>=0
Count map;cmap_t;dynamic;associative;-;pair_t;-;forward;new(multimap_t, type, size);>=0
;;;;;;;;;
container;size();element_size();data();key/value_size;at(index);contains(value);count();;
Tuple;+;-;-;-;+;+;;S;
Pair;+;-;-;+;+;-;;;
Variant;+;+;-;-;-;-;;;
Array;+;+;+;-;+;+;;;
Vector;+;+;+;-;+;+;;;
List;+;+;+;-;+;+;;;
Matrix;+;+;+;-;at(col,row);+;;;
Deque;+;+;-;-;-;-;;;
Queue;+;+;-;-;-;-;;;
Stack;+;+;-;-;-;-;;;
Set;+;+;-;-;;+;;;
Map;+;-;-;+;;+;;;
Count set;+;+;-;-;;+;+;;
Count map;+;-;-;+;;+;+;;
